Date,Open,High,Low,Close,Adj Close,Volume
2023-12-11,145.66,146.19,143.64,145.89,145.89,50907300
2023-12-12,145.52,147.5,145.3,147.48,147.48,44944300
2023-12-13,148.12,149.46,146.82,148.84,148.84,52766200
2023-12-14,149.93,150.54,145.52,147.42,147.42,58400800
2023-12-15,148.38,150.57,147.88,149.97,149.97,110039100
2023-12-18,150.56,154.85,150.05,154.07,154.07,62512800
2023-12-19,154.4,155.12,152.69,153.79,153.79,43171300
2023-12-20,152.9,155.63,151.56,152.12,152.12,50322100
2023-12-21,153.3,153.97,152.1,153.84,153.84,36305700
2023-12-22,153.77,154.35,152.71,153.42,153.42,29480100
2023-12-26,153.56,153.98,153.03,153.41,153.41,25067200
2023-12-27,153.56,154.78,153.12,153.34,153.34,31434700
2023-12-28,153.72,154.08,152.95,153.38,153.38,27057000
2023-12-29,153.1,153.89,151.03,151.94,151.94,39789000
